Index,Start_Time,End_Time,Length,MOSI,MISO,Frequency,Error
43,18.984524s,18.984544s,5,00 F6 00 00 03,00 00 00 01 00,1.6146 MHz,-
44,18.984549s,18.984569s,5,80 FE 00 00 00,00 00 00 01 A1,1.5953 MHz,-
45,18.984575s,18.984595s,5,80 FE 00 1C 00,00 00 00 01 00,1.5842 MHz,-
46,18.984600s,18.984620s,5,00 DC 00 1C 40,00 00 00 01 00,1.6097 MHz,-
47,18.989626s,18.989646s,5,C0 FE 00 1C 00,00 00 00 01 40,1.6113 MHz,-
48,18.989652s,18.989686s,8,C3 FE 00 18 00 00 00 00,00 00 00 01 40 FF 00 04,1.6097 MHz,-
49,18.989692s,18.989815s,26,17 FC 00 36 80 01 80 00 00 1F 00 00 01 FF 00 00 00 07 80 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5953 MHz,-
50,18.994821s,18.994841s,5,C0 F6 00 18 00,00 00 00 01 80,1.6162 MHz,-
51,18.999846s,18.999866s,5,C0 D6 00 1C 00,00 00 00 01 80,1.6211 MHz,-
52,18.999872s,18.999892s,5,00 DE 00 18 20,00 00 00 01 00,1.6178 MHz,-
53,19.004897s,19.004917s,5,80 FC 00 18 00,00 00 00 01 90,1.5795 MHz,-
54,19.004923s,19.004958s,8,C3 FC 00 1C 00 00 00 00,00 00 00 01 90 1F 00 04,1.6097 MHz,-
55,19.004963s,19.005028s,14,CD FE 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.6162 MHz,-
56,19.010034s,19.010054s,5,80 F6 00 1C 00,00 00 00 01 90,1.5921 MHz,-
57,19.010059s,19.010094s,8,C3 FC 00 1C 00 00 00 00,00 00 00 01 90 15 00 04,1.5905 MHz,-
58,19.010100s,19.010219s,25,D4 F6 00 26 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.6162 MHz,-
59,19.010225s,19.010244s,5,00 F4 00 1C 40,00 00 00 01 00,1.6377 MHz,-
60,19.010250s,19.010270s,5,00 DC 00 00 30,00 00 00 01 00,1.6211 MHz,-
61,19.010276s,19.010296s,5,80 D4 00 00 00,00 00 00 01 81,1.6097 MHz,-
62,19.010302s,19.010322s,5,00 F4 00 00 03,00 00 00 01 00,1.6130 MHz,-
63,19.010327s,19.010347s,5,C0 D4 00 00 00,00 00 00 01 A1,1.6195 MHz,-
64,19.010353s,19.010373s,5,80 FC 00 18 00,00 00 00 01 40,1.5937 MHz,-
65,19.010378s,19.010413s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 40 FF 00 04,1.6261 MHz,-
66,19.010419s,19.010541s,26,1F FC 00 34 80 01 00 00 00 1E 00 00 01 FA 00 00 00 06 00 00 01 9B 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6394 MHz,-
67,19.015547s,19.015567s,5,C0 F6 00 1C 00,00 00 00 01 80,1.5921 MHz,-
68,19.020573s,19.020593s,5,80 F4 00 18 00,00 00 00 01 80,1.6228 MHz,-
69,19.020598s,19.020618s,5,00 FE 00 1C 20,00 00 00 01 00,1.6377 MHz,-
70,19.025624s,19.025644s,5,80 FE 00 18 00,00 00 00 01 90,1.5687 MHz,-
71,19.025649s,19.025684s,8,83 FC 00 1C 00 00 00 00,00 00 00 01 90 1B 00 04,1.6113 MHz,-
72,19.025690s,19.025755s,14,CD FE 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5985 MHz,-
73,19.030761s,19.030781s,5,80 DC 00 1C 00,00 00 00 01 90,1.5671 MHz,-
74,19.030786s,19.030821s,8,C3 FC 00 18 00 00 00 00,00 00 00 01 90 11 00 04,1.6261 MHz,-
75,19.030827s,19.030926s,21,98 F4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.6178 MHz,-
76,19.030932s,19.030952s,5,00 DC 00 18 40,00 00 00 01 00,1.6377 MHz,-
77,19.030957s,19.030977s,5,00 DE 00 00 20,00 00 00 01 00,1.6261 MHz,-
78,19.030983s,19.031004s,5,C0 D6 00 00 00,00 00 00 01 81,1.6113 MHz,-
79,19.031009s,19.031029s,5,00 F6 00 00 02,00 00 00 01 00,1.6097 MHz,-
80,19.031035s,19.031055s,5,80 D4 00 00 00,00 00 00 01 A1,1.6146 MHz,-
81,19.031060s,19.031080s,5,80 F4 00 1C 00,00 00 00 01 40,1.6310 MHz,-
82,19.031085s,19.031121s,8,83 D4 00 18 00 00 00 00,00 00 00 01 40 FF 00 04,1.5795 MHz,-
83,19.031126s,19.031196s,15,0B F4 00 24 C0 01 80 00 00 0B 00 00 01 43 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00,1.5985 MHz,-
84,19.036202s,19.036222s,5,80 FE 00 1C 00,00 00 00 01 80,1.6377 MHz,-
85,19.041227s,19.041247s,5,80 D4 00 1C 00,00 00 00 01 80,1.6377 MHz,-
86,19.041253s,19.041273s,5,00 D6 00 18 30,00 00 00 01 00,1.6162 MHz,-
87,19.046278s,19.046298s,5,80 D6 00 1C 00,00 00 00 01 80,1.5937 MHz,-
88,19.051304s,19.051324s,5,80 D4 00 18 00,00 00 00 01 80,1.6130 MHz,-
89,19.056329s,19.056349s,5,C0 DC 00 18 00,00 00 00 01 80,1.6049 MHz,-
90,19.061355s,19.061374s,5,C0 D4 00 18 00,00 00 00 01 80,1.6162 MHz,-
91,19.066380s,19.066400s,5,C0 F6 00 1C 00,00 00 00 01 80,1.6195 MHz,-
92,19.071406s,19.071425s,5,C0 D4 00 18 00,00 00 00 01 80,1.6294 MHz,-
93,19.076431s,19.076451s,5,C0 F4 00 1C 00,00 00 00 01 80,1.5842 MHz,-
94,19.081457s,19.081477s,5,C0 D6 00 18 00,00 00 00 01 80,1.6277 MHz,-
95,19.086483s,19.086502s,5,80 FE 00 1C 00,00 00 00 01 80,1.6211 MHz,-
96,19.091508s,19.091528s,5,80 D4 00 18 00,00 00 00 01 80,1.6113 MHz,-
97,19.096534s,19.096554s,5,C0 FE 00 18 00,00 00 00 01 80,1.6081 MHz,-
98,19.101560s,19.101580s,5,C0 D4 00 18 00,00 00 00 01 80,1.5858 MHz,-
99,19.106586s,19.106606s,5,C0 FE 00 18 00,00 00 00 01 80,1.5842 MHz,-
100,19.111612s,19.111632s,5,C0 DC 00 18 00,00 00 00 01 80,1.5937 MHz,-
101,19.116637s,19.116658s,5,C0 F4 00 1C 00,00 00 00 01 80,1.5625 MHz,-
102,19.121663s,19.121683s,5,80 FE 00 1C 00,00 00 00 01 80,1.6017 MHz,-
103,19.126689s,19.126709s,5,C0 FE 00 1C 00,00 00 00 01 80,1.6244 MHz,-
104,19.131715s,19.131735s,5,C0 F6 00 1C 00,00 00 00 01 80,1.6081 MHz,-
105,19.136740s,19.136760s,5,80 F6 00 1C 00,00 00 00 01 80,1.6049 MHz,-
106,19.141766s,19.141786s,5,80 FE 00 18 00,00 00 00 01 80,1.5858 MHz,-
107,19.146792s,19.146812s,5,80 F4 00 1C 00,00 00 00 01 80,1.5733 MHz,-
108,19.151818s,19.151838s,5,C0 FC 00 1C 00,00 00 00 01 80,1.5626 MHz,-
109,19.156843s,19.156864s,5,80 DE 00 1C 00,00 00 00 01 80,1.6049 MHz,-
110,19.161869s,19.161889s,5,C0 FE 00 1C 00,00 00 00 01 80,1.5858 MHz,-
111,19.166895s,19.166915s,5,80 FE 00 1C 00,00 00 00 01 80,1.5905 MHz,-
112,19.171921s,19.171941s,5,80 FE 00 1C 00,00 00 00 01 80,1.6033 MHz,-
113,19.176947s,19.176967s,5,C0 FE 00 18 00,00 00 00 01 80,1.6000 MHz,-
114,19.181972s,19.181993s,5,C0 D4 00 18 00,00 00 00 01 80,1.5780 MHz,-
115,19.186998s,19.187018s,5,80 D6 00 1C 00,00 00 00 01 80,1.5718 MHz,-
116,19.192024s,19.192044s,5,80 FE 00 18 00,00 00 00 01 80,1.6033 MHz,-
117,19.197050s,19.197070s,5,C0 DE 00 1C 00,00 00 00 01 80,1.5580 MHz,-
118,19.202075s,19.202095s,5,80 FC 00 1C 00,00 00 00 01 80,1.6033 MHz,-
119,19.207101s,19.207121s,5,80 FE 00 18 00,00 00 00 01 80,1.5842 MHz,-
120,19.212127s,19.212147s,5,80 F6 00 1C 00,00 00 00 01 80,1.6049 MHz,-
121,19.217152s,19.217172s,5,80 F6 00 18 00,00 00 00 01 80,1.6017 MHz,-
122,19.222178s,19.222198s,5,C0 D6 00 18 00,00 00 00 01 80,1.5687 MHz,-
123,19.227204s,19.227224s,5,C0 F6 00 1C 00,00 00 00 01 80,1.6261 MHz,-
124,19.232230s,19.232250s,5,C0 D4 00 18 00,00 00 00 01 80,1.5826 MHz,-
125,19.237255s,19.237276s,5,C0 F4 00 1C 00,00 00 00 01 80,1.6228 MHz,-
126,19.242281s,19.242301s,5,C0 FE 00 18 00,00 00 00 01 80,1.5937 MHz,-
127,19.247307s,19.247327s,5,80 F4 00 18 00,00 00 00 01 80,1.5780 MHz,-
128,19.252333s,19.252353s,5,C0 FE 00 18 00,00 00 00 01 80,1.6261 MHz,-
129,19.257359s,19.257379s,5,80 DE 00 1C 00,00 00 00 01 80,1.5985 MHz,-
130,19.262384s,19.262404s,5,80 FE 00 1C 00,00 00 00 01 80,1.5811 MHz,-
131,19.267410s,19.267430s,5,80 F4 00 18 00,00 00 00 01 80,1.5842 MHz,-
132,19.272436s,19.272456s,5,C0 DE 00 1C 00,00 00 00 01 80,1.5702 MHz,-
133,19.277462s,19.277482s,5,80 DC 00 1C 00,00 00 00 01 80,1.5595 MHz,-
134,19.282488s,19.282508s,5,C0 FC 00 18 00,00 00 00 01 80,1.5921 MHz,-
135,19.287513s,19.287534s,5,80 D6 00 1C 00,00 00 00 01 80,1.5969 MHz,-
136,19.292539s,19.292559s,5,80 D4 00 18 00,00 00 00 01 80,1.5826 MHz,-
137,19.297565s,19.297585s,5,C0 DC 00 18 00,00 00 00 01 80,1.5610 MHz,-
138,19.302591s,19.302611s,5,C0 F6 00 1C 00,00 00 00 01 80,1.6065 MHz,-
139,19.307617s,19.307637s,5,80 D4 00 18 00,00 00 00 01 80,1.5826 MHz,-
140,19.312643s,19.312663s,5,C0 FC 00 1C 00,00 00 00 01 80,1.6049 MHz,-
141,19.317668s,19.317688s,5,80 F6 00 1C 00,00 00 00 01 80,1.5905 MHz,-
142,19.322694s,19.322714s,5,80 FE 00 18 00,00 00 00 01 80,1.6097 MHz,-
143,19.327720s,19.327740s,5,80 D4 00 1C 00,00 00 00 01 80,1.6130 MHz,-
144,19.332745s,19.332766s,5,C0 D6 00 1C 00,00 00 00 01 80,1.5795 MHz,-
145,19.337771s,19.337791s,5,80 DE 00 18 00,00 00 00 01 80,1.5565 MHz,-
146,19.342797s,19.342817s,5,C0 FE 00 1C 00,00 00 00 01 80,1.6162 MHz,-
147,19.347822s,19.347842s,5,80 FE 00 18 00,00 00 00 01 80,1.5733 MHz,-
148,19.352848s,19.352869s,5,80 FE 00 18 00,00 00 00 01 80,1.5687 MHz,-
149,19.357874s,19.357894s,5,C0 F4 00 1C 00,00 00 00 01 80,1.6017 MHz,-
150,19.362900s,19.362920s,5,C0 FE 00 1C 00,00 00 00 01 80,1.5749 MHz,-
151,19.367926s,19.367946s,5,80 FC 00 1C 00,00 00 00 01 80,1.5905 MHz,-
152,19.372952s,19.372972s,5,80 F6 00 18 00,00 00 00 01 80,1.5921 MHz,-
153,19.377978s,19.377998s,5,C0 FE 00 18 00,00 00 00 01 80,1.6049 MHz,-
154,19.383003s,19.383023s,5,C0 D4 00 18 00,00 00 00 01 80,1.5874 MHz,-
155,19.388029s,19.388049s,5,80 F6 00 1C 00,00 00 00 01 80,1.5811 MHz,-
156,19.393055s,19.393075s,5,80 F6 00 1C 00,00 00 00 01 80,1.5702 MHz,-
157,19.398081s,19.398101s,5,80 D4 00 1C 00,00 00 00 01 80,1.5889 MHz,-
158,19.403107s,19.403127s,5,C0 DE 00 1C 00,00 00 00 01 80,1.6049 MHz,-
159,19.408132s,19.408152s,5,C0 D6 00 18 00,00 00 00 01 80,1.5811 MHz,-
160,19.413158s,19.413178s,5,80 FE 00 1C 00,00 00 00 01 80,1.6049 MHz,-
161,19.418184s,19.418204s,5,80 F4 00 18 00,00 00 00 01 80,1.5764 MHz,-
162,19.423210s,19.423230s,5,C0 DC 00 1C 00,00 00 00 01 80,1.5733 MHz,-
163,19.428236s,19.428256s,5,C0 D4 00 18 00,00 00 00 01 80,1.5733 MHz,-
164,19.433261s,19.433282s,5,80 FE 00 18 00,00 00 00 01 80,1.5874 MHz,-
165,19.438287s,19.438307s,5,80 FC 00 1C 00,00 00 00 01 80,1.5641 MHz,-
166,19.443313s,19.443333s,5,80 FC 00 1C 00,00 00 00 01 80,1.5858 MHz,-
167,19.448339s,19.448359s,5,C0 FC 00 1C 00,00 00 00 01 80,1.5921 MHz,-
168,19.453365s,19.453385s,5,80 FE 00 18 00,00 00 00 01 80,1.5764 MHz,-
169,19.458391s,19.458411s,5,C0 DE 00 1C 00,00 00 00 01 80,1.6261 MHz,-
170,19.463417s,19.463437s,5,C0 DC 00 1C 00,00 00 00 01 80,1.5625 MHz,-
171,19.468443s,19.468463s,5,80 FC 00 18 00,00 00 00 01 80,1.5780 MHz,-
172,19.473469s,19.473489s,5,80 FE 00 1C 00,00 00 00 01 80,1.5842 MHz,-
173,19.478494s,19.478514s,5,80 DC 00 18 00,00 00 00 01 80,1.5795 MHz,-
174,19.483520s,19.483540s,5,C0 F6 00 1C 00,00 00 00 01 80,1.5953 MHz,-
175,19.488546s,19.488566s,5,80 DE 00 18 00,00 00 00 01 80,1.6065 MHz,-
176,19.493572s,19.493592s,5,C0 D6 00 18 00,00 00 00 01 80,1.6000 MHz,-
177,19.498598s,19.498618s,5,C0 F6 00 18 00,00 00 00 01 80,1.5874 MHz,-
178,19.503624s,19.503644s,5,80 DE 00 18 00,00 00 00 01 80,1.6033 MHz,-
179,19.508649s,19.508669s,5,C0 F4 00 18 00,00 00 00 01 80,1.5937 MHz,-
180,19.513675s,19.513695s,5,C0 FE 00 1C 00,00 00 00 01 80,1.5953 MHz,-
181,19.518701s,19.518721s,5,C0 FE 00 18 00,00 00 00 01 80,1.6049 MHz,-
182,19.523727s,19.523747s,5,80 F6 00 1C 00,00 00 00 01 80,1.5489 MHz,-
183,19.528753s,19.528773s,5,C0 FC 00 18 00,00 00 00 01 80,1.6000 MHz,-
184,19.533778s,19.533798s,5,C0 FE 00 1C 00,00 00 00 01 80,1.5985 MHz,-
185,19.538804s,19.538824s,5,80 D4 00 1C 00,00 00 00 01 80,1.5718 MHz,-
186,19.543830s,19.543850s,5,C0 DE 00 1C 00,00 00 00 01 80,1.5953 MHz,-
187,19.548856s,19.548876s,5,C0 FE 00 1C 00,00 00 00 01 80,1.5953 MHz,-
188,19.553882s,19.553902s,5,80 FE 00 1C 00,00 00 00 01 80,1.5641 MHz,-
189,19.558908s,19.558928s,5,80 F4 00 1C 00,00 00 00 01 80,1.5858 MHz,-
190,19.563933s,19.563954s,5,80 D6 00 1C 00,00 00 00 01 80,1.5641 MHz,-
191,19.568959s,19.568980s,5,80 F6 00 18 00,00 00 00 01 80,1.5733 MHz,-
192,19.573985s,19.574005s,5,C0 FC 00 1C 00,00 00 00 01 80,1.5795 MHz,-
193,19.579011s,19.579031s,5,C0 D6 00 1C 00,00 00 00 01 80,1.5905 MHz,-
194,19.584037s,19.584057s,5,80 D4 00 1C 00,00 00 00 01 80,1.5656 MHz,-
195,19.589062s,19.589082s,5,C0 F4 00 18 00,00 00 00 01 94,1.6211 MHz,-
196,19.589088s,19.589123s,8,83 D6 00 18 00 00 00 00,00 00 00 01 94 0A 00 04,1.5687 MHz,-
197,19.589129s,19.589195s,14,C9 F4 00 34 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 0A 00 00 00 00,1.5874 MHz,-
198,19.589200s,19.589221s,5,00 DE 00 1C 40,00 00 00 01 00,1.5969 MHz,-
199,19.589226s,19.589247s,5,00 D4 00 00 30,00 00 00 01 00,1.5702 MHz,-
200,19.589253s,19.589273s,5,80 DE 00 00 00,00 00 00 01 81,1.5595 MHz,-
201,19.589279s,19.589299s,5,00 FE 00 00 02,00 00 00 01 00,1.6049 MHz,-
202,19.589304s,19.589324s,5,80 DC 00 00 00,00 00 00 01 A1,1.5953 MHz,-
203,19.589330s,19.589350s,5,80 DE 00 18 00,00 00 00 01 04,1.6377 MHz,-
204,19.589356s,19.589376s,5,00 FE 00 1C 60,00 00 00 01 00,1.5953 MHz,-
205,19.594381s,19.594402s,5,C0 F4 00 1C 00,00 00 00 01 44,1.6017 MHz,-
206,19.594407s,19.594443s,8,83 FC 00 1C 00 00 00 00,00 00 00 01 44 FF 00 04,1.5400 MHz,-
207,19.594448s,19.594575s,26,1D F6 00 36 80 01 00 00 00 1F 00 00 01 FB 00 00 00 07 80 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5795 MHz,-
208,19.599580s,19.599601s,5,80 D6 00 18 00,00 00 00 01 84,1.5826 MHz,-
209,19.604606s,19.604626s,5,C0 FE 00 1C 00,00 00 00 01 84,1.5905 MHz,-
210,19.604632s,19.604652s,5,00 DE 00 1C 30,00 00 00 01 00,1.5874 MHz,-
211,19.609658s,19.609678s,5,80 F6 00 18 00,00 00 00 01 94,1.5921 MHz,-
212,19.609684s,19.609719s,8,C3 DC 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5889 MHz,-
213,19.609725s,19.609789s,14,89 F4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.6000 MHz,-
214,19.614795s,19.614815s,5,80 FC 00 1C 00,00 00 00 01 94,1.5811 MHz,-
215,19.614821s,19.614856s,8,C3 FE 00 1C 00 00 00 00,00 00 00 01 94 15 00 04,1.5625 MHz,-
216,19.614862s,19.614981s,25,DE FE 00 26 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.6211 MHz,-
217,19.614986s,19.615007s,5,00 F4 00 18 40,00 00 00 01 00,1.5780 MHz,-
218,19.615012s,19.615033s,5,00 D6 00 00 30,00 00 00 01 00,1.6065 MHz,-
219,19.615039s,19.615059s,5,C0 FC 00 00 00,00 00 00 01 81,1.5780 MHz,-
220,19.615065s,19.615085s,5,00 FC 00 00 02,00 00 00 01 00,1.6113 MHz,-
221,19.615090s,19.615111s,5,80 FC 00 00 00,00 00 00 01 A1,1.5985 MHz,-
222,19.615116s,19.615137s,5,80 FC 00 1C 00,00 00 00 01 04,1.5580 MHz,-
223,19.615142s,19.615162s,5,00 DC 00 18 40,00 00 00 01 00,1.5874 MHz,-
224,19.620168s,19.620188s,5,80 FC 00 18 00,00 00 00 01 44,1.6000 MHz,-
225,19.620194s,19.620230s,8,C3 FC 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5889 MHz,-
226,19.620235s,19.620361s,26,1D D4 00 24 80 01 00 00 00 17 00 00 01 FA 00 00 00 07 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6001 MHz,-
227,19.625367s,19.625387s,5,C0 FE 00 18 00,00 00 00 01 84,1.6049 MHz,-
228,19.630393s,19.630413s,5,C0 FC 00 18 00,00 00 00 01 84,1.5889 MHz,-
229,19.630419s,19.630439s,5,00 DC 00 1C 30,00 00 00 01 00,1.6065 MHz,-
230,19.635445s,19.635465s,5,80 DE 00 18 00,00 00 00 01 94,1.5626 MHz,-
231,19.635471s,19.635506s,8,83 DE 00 1C 00 00 00 00,00 00 00 01 94 1B 00 04,1.5610 MHz,-
232,19.635512s,19.635576s,14,CD DE 00 36 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5985 MHz,-
233,19.640582s,19.640602s,5,80 F6 00 18 00,00 00 00 01 94,1.6065 MHz,-
234,19.640607s,19.640643s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.6017 MHz,-
235,19.640648s,19.640747s,21,90 DE 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.6178 MHz,-
236,19.640753s,19.640773s,5,00 D4 00 1C 40,00 00 00 01 00,1.5858 MHz,-
237,19.640779s,19.640799s,5,00 D4 00 00 30,00 00 00 01 00,1.5733 MHz,-
238,19.640842s,19.640862s,5,80 F4 00 00 00,00 00 00 01 81,1.5702 MHz,-
239,19.640868s,19.640888s,5,00 D6 00 00 02,00 00 00 01 00,1.5858 MHz,-
240,19.640894s,19.640915s,5,80 D4 00 00 00,00 00 00 01 A1,1.5795 MHz,-
241,19.640920s,19.640941s,5,80 FC 00 18 00,00 00 00 01 44,1.5626 MHz,-
242,19.640946s,19.640982s,8,83 DC 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6097 MHz,-
243,19.640988s,19.641115s,26,15 F4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6065 MHz,-
244,19.646120s,19.646141s,5,80 F6 00 1C 00,00 00 00 01 84,1.5595 MHz,-
245,19.651147s,19.651167s,5,C0 D4 00 1C 00,00 00 00 01 84,1.5874 MHz,-
246,19.651173s,19.651193s,5,00 D6 00 18 20,00 00 00 01 00,1.5565 MHz,-
247,19.656199s,19.656219s,5,80 DC 00 1C 00,00 00 00 01 94,1.5400 MHz,-
248,19.656225s,19.656261s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5489 MHz,-
249,19.656266s,19.656333s,14,8D D6 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.6049 MHz,-
250,19.661339s,19.661359s,5,80 F6 00 18 00,00 00 00 01 94,1.5702 MHz,-
251,19.661365s,19.661400s,8,83 FE 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5749 MHz,-
252,19.661406s,19.661528s,25,9E F6 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.6097 MHz,-
